User_Id:95	 Questions Asked:0	 Answers Posted:0	 	Votes:52
User_Id:96	 Questions Asked:1	 Answers Posted:0	 	Votes:27
User_Id:97	 Questions Asked:1	 Answers Posted:3	 	Votes:622
User_Id:99	 Questions Asked:10	 Answers Posted:2	 	Votes:76
User_Id:100	 Questions Asked:2	 Answers Posted:0	 	Votes:7
User_Id:101	 Questions Asked:1	 Answers Posted:0	 	Votes:21
User_Id:102	 Questions Asked:10	 Answers Posted:8	 	Votes:188
User_Id:103	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:104	 Questions Asked:0	 Answers Posted:0	 	Votes:7
User_Id:105	 Questions Asked:1	 Answers Posted:0	 	Votes:3
User_Id:106	 Questions Asked:1	 Answers Posted:0	 	Votes:3
User_Id:107	 Questions Asked:3	 Answers Posted:0	 	Votes:14
User_Id:108	 Questions Asked:1	 Answers Posted:0	 	Votes:15
User_Id:109	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:110	 Questions Asked:3	 Answers Posted:0	 	Votes:1
User_Id:111	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:112	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:113	 Questions Asked:5	 Answers Posted:0	 	Votes:172
User_Id:114	 Questions Asked:8	 Answers Posted:67	 	Votes:240
User_Id:115	 Questions Asked:3	 Answers Posted:1	 	Votes:19
User_Id:116	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:117	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:118	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:119	 Questions Asked:0	 Answers Posted:0	 	Votes:16
User_Id:120	 Questions Asked:9	 Answers Posted:14	 	Votes:93
User_Id:121	 Questions Asked:10	 Answers Posted:0	 	Votes:25
User_Id:122	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:123	 Questions Asked:2	 Answers Posted:0	 	Votes:3
User_Id:124	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:125	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:127	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:128	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:129	 Questions Asked:0	 Answers Posted:3	 	Votes:32
User_Id:130	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:131	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:132	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:133	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:134	 Questions Asked:1	 Answers Posted:1	 	Votes:13
User_Id:135	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:136	 Questions Asked:0	 Answers Posted:6	 	Votes:9
User_Id:137	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:138	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:140	 Questions Asked:29	 Answers Posted:22	 	Votes:1224
User_Id:141	 Questions Asked:1	 Answers Posted:1	 	Votes:1
User_Id:142	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:143	 Questions Asked:1	 Answers Posted:0	 	Votes:1
User_Id:144	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:145	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:146	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:148	 Questions Asked:2	 Answers Posted:0	 	Votes:0
User_Id:149	 Questions Asked:0	 Answers Posted:7	 	Votes:1
User_Id:150	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:151	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:152	 Questions Asked:2	 Answers Posted:0	 	Votes:18
User_Id:153	 Questions Asked:0	 Answers Posted:45	 	Votes:84
User_Id:154	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:155	 Questions Asked:2	 Answers Posted:1	 	Votes:2
User_Id:156	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:157	 Questions Asked:3	 Answers Posted:1	 	Votes:6
User_Id:158	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:159	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:160	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:161	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:162	 Questions Asked:1	 Answers Posted:2	 	Votes:231
User_Id:163	 Questions Asked:7	 Answers Posted:0	 	Votes:106
User_Id:164	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:165	 Questions Asked:6	 Answers Posted:34	 	Votes:556
User_Id:167	 Questions Asked:0	 Answers Posted:66	 	Votes:928
User_Id:168	 Questions Asked:1	 Answers Posted:0	 	Votes:11
User_Id:169	 Questions Asked:8	 Answers Posted:112	 	Votes:922
User_Id:170	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:171	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:172	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:173	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:174	 Questions Asked:3	 Answers Posted:3	 	Votes:10
User_Id:175	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:176	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:177	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:178	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:179	 Questions Asked:0	 Answers Posted:6	 	Votes:1
User_Id:180	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:181	 Questions Asked:3	 Answers Posted:0	 	Votes:11
User_Id:182	 Questions Asked:1	 Answers Posted:1	 	Votes:4
User_Id:183	 Questions Asked:2	 Answers Posted:0	 	Votes:2
User_Id:184	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:185	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:186	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:187	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:188	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:189	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:190	 Questions Asked:1	 Answers Posted:0	 	Votes:7
User_Id:191	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:192	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:193	 Questions Asked:12	 Answers Posted:21	 	Votes:727
User_Id:194	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:195	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:196	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:197	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:198	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:199	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:200	 Questions Asked:2	 Answers Posted:4	 	Votes:15
User_Id:201	 Questions Asked:0	 Answers Posted:0	 	Votes:5
User_Id:202	 Questions Asked:0	 Answers Posted:0	 	Votes:5
User_Id:203	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:204	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:205	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:206	 Questions Asked:0	 Answers Posted:25	 	Votes:48
User_Id:207	 Questions Asked:1	 Answers Posted:0	 	Votes:4
User_Id:208	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:209	 Questions Asked:0	 Answers Posted:1	 	Votes:5
User_Id:210	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:211	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:212	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:213	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:214	 Questions Asked:0	 Answers Posted:0	 	Votes:17
User_Id:215	 Questions Asked:0	 Answers Posted:0	 	Votes:12
User_Id:216	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:217	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:218	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:220	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:221	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:222	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:223	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:224	 Questions Asked:1	 Answers Posted:0	 	Votes:8
User_Id:225	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:226	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:227	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:228	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:229	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:230	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:231	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:232	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:233	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:235	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:236	 Questions Asked:1	 Answers Posted:2	 	Votes:19
User_Id:237	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:238	 Questions Asked:0	 Answers Posted:2	 	Votes:2
User_Id:239	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:240	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:241	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:242	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:243	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:244	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:245	 Questions Asked:0	 Answers Posted:0	 	Votes:14
User_Id:247	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:248	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:249	 Questions Asked:1	 Answers Posted:0	 	Votes:0
