User_Id:92	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:93	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:94	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:95	 Questions Asked:0	 Answers Posted:0	 	Votes:9
User_Id:96	 Questions Asked:1	 Answers Posted:0	 	Votes:3
User_Id:97	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:98	 Questions Asked:8	 Answers Posted:64	 	Votes:80
User_Id:99	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:100	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:101	 Questions Asked:0	 Answers Posted:1	 	Votes:2
User_Id:102	 Questions Asked:1	 Answers Posted:0	 	Votes:4
User_Id:103	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:104	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:105	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:106	 Questions Asked:1	 Answers Posted:0	 	Votes:2
User_Id:107	 Questions Asked:0	 Answers Posted:2	 	Votes:18
User_Id:108	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:109	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:110	 Questions Asked:1	 Answers Posted:0	 	Votes:10
User_Id:111	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:112	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:113	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:114	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:115	 Questions Asked:5	 Answers Posted:39	 	Votes:402
User_Id:116	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:117	 Questions Asked:0	 Answers Posted:0	 	Votes:5
User_Id:118	 Questions Asked:0	 Answers Posted:2	 	Votes:14
User_Id:119	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:120	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:121	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:122	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:123	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:124	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:125	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:126	 Questions Asked:1	 Answers Posted:0	 	Votes:1
User_Id:127	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:128	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:129	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:130	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:131	 Questions Asked:9	 Answers Posted:4	 	Votes:24
User_Id:132	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:133	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:134	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:135	 Questions Asked:1	 Answers Posted:0	 	Votes:1
User_Id:136	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:137	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:138	 Questions Asked:0	 Answers Posted:0	 	Votes:36
User_Id:139	 Questions Asked:0	 Answers Posted:1	 	Votes:3
User_Id:140	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:141	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:142	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:143	 Questions Asked:1	 Answers Posted:0	 	Votes:5
User_Id:144	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:145	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:146	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:147	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:148	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:149	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:150	 Questions Asked:1	 Answers Posted:0	 	Votes:1
User_Id:151	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:152	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:153	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:154	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:155	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:156	 Questions Asked:0	 Answers Posted:7	 	Votes:13
User_Id:157	 Questions Asked:1	 Answers Posted:2	 	Votes:6
User_Id:158	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:159	 Questions Asked:0	 Answers Posted:0	 	Votes:0
